,BBB,BBB_Acc,CYP3A4,CYP3A4_Acc,Clearance,Solubility
"ckpts/MTL1_Scaled/MolCLR_[X, CYP3A4, X, Solubility]_sc-12.13_1617.pt",,,0.4699,79.8,,1.4709
"ckpts/MTL1_Scaled/MolCLR_[BBB, X, X, Solubility]_sc-12.06_0842.pt",0.6405,86.2,,,,1.4597
"ckpts/MTL1_Scaled/MolCLR_[X, X, Clearance, X]_sc-12.13_1630.pt",,,,,2130.1233,
"ckpts/MTL1_Scaled/MolCLR_[BBB, CYP3A4, Clearance, Solubility]-12.06_0025.pt",0.5551,83.3,0.4594,77.5,4352.8857,10.5841
"ckpts/MTL1_Scaled/MolCLR_[BBB, X, X, X]_sc-12.06_0034.pt",0.4037,84.2,,,,
"ckpts/MTL1_Scaled/MolCLR_[BBB, CYP3A4, X, X]_sc-12.06_0827.pt",0.4454,85.7,0.4812,76.7,,
"ckpts/MTL1_Scaled/MolCLR_[X, CYP3A4, X, X]_sc-12.13_1617.pt",,,0.4795,76.8,,
"ckpts/MTL1_Scaled/MolCLR_[X, X, X, Solubility]_sc-12.13_1631.pt",,,,,,1.4887
"ckpts/MTL1_Scaled/MolCLR_[X, CYP3A4, Clearance, Solubility]_sc-12.06_1445.pt",,,0.4708,76.4,2259.1313,1.7529
"ckpts/MTL1_Scaled/MolCLR_[BBB, X, Clearance, Solubility]_sc-12.06_0801.pt",0.5429,84.5,,,2502.5879,1.6766
"ckpts/MTL1_Scaled/MolCLR_[X, CYP3A4, Clearance, X]_sc-12.13_1617.pt",,,0.4702,77.5,2304.9741,
"ckpts/MTL1_Scaled/MolCLR_[BBB, CYP3A4, Clearance, X]_sc-12.06_0914.pt",0.4966,83.0,0.4915,76.1,2404.2292,
"ckpts/MTL1_Scaled/MolCLR_[BBB, X, Clearance, X]_sc-12.06_0843.pt",0.4268,83.5,,,2198.2231,
"ckpts/MTL1_Scaled/MolCLR_[BBB, CYP3A4, X, Solubility]_sc-12.06_0759.pt",0.4721,85.7,0.4761,78.4,,1.5422
